number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_dropout_3,params_dropout_4,params_dropout_5,params_hidden_0,params_hidden_1,params_hidden_2,params_hidden_3,params_hidden_4,params_learning_rate,params_n_layers,params_weight_decay,state
0,0.6436358582346463,2025-04-01 11:03:44.167462,2025-04-01 11:03:58.921680,0 days 00:00:14.754218,384,0.1624074561769746,0.16239780813448107,0.12323344486727979,0.4464704583099741,,,512,384,320.0,,,0.0015930522616241021,3,1.1527987128232396e-05,COMPLETE
1,0.3074082734916528,2025-04-01 11:03:58.922027,2025-04-01 11:04:10.883981,0 days 00:00:11.961954,256,0.30990257265289517,0.2727780074568463,0.21649165607921678,0.3447411578889518,0.15579754426081674,0.21685785941408728,448,128,96.0,96.0,160.0,0.0005404103854647331,5,0.0022673986523780395,COMPLETE
2,-0.7602348189506596,2025-04-01 11:04:10.884382,2025-04-01 11:04:22.566682,0 days 00:00:11.682300,512,0.1185801650879991,0.34301794076057535,0.16820964947491662,,,,288,320,,,,0.00013492834268013249,2,0.00788671412999049,COMPLETE
3,0.2911211222792992,2025-04-01 11:04:22.567011,2025-04-01 11:04:36.917486,0 days 00:00:14.350475,288,0.2980707640445081,0.11375540844608736,0.46372816083151286,0.20351199264000677,0.36500891374159283,0.2246844304357644,160,64,352.0,256.0,64.0,0.001096821720752952,5,3.585612610345396e-05,COMPLETE
4,0.6082064620979701,2025-04-01 11:04:36.918676,2025-04-01 11:04:52.750734,0 days 00:00:15.832058,192,0.1353970008207678,0.1783931449676581,0.11809091556421523,0.23013213230530574,0.2554709158757928,0.20853961270955837,416,512,480.0,320.0,480.0,0.004544383960336018,5,6.963114377829287e-05,COMPLETE
5,0.03075718388941262,2025-04-01 11:04:52.751303,2025-04-01 11:05:04.883941,0 days 00:00:12.132638,416,0.40889790771866297,0.17948627261366898,0.10220884684944097,0.42618457138193366,0.38274293753904687,,96,416,64.0,512.0,,0.0028708753481954683,4,1.6677615430197892e-05,PRUNED
6,-2.729416588042459,2025-04-01 11:05:04.884386,2025-04-01 11:05:16.435305,0 days 00:00:11.550919,352,0.23235920994105969,0.12542334011440945,0.2243929286862649,0.23007332881069884,,,64,448,320.0,,,0.002878805718308925,3,0.0045881565491609705,PRUNED
7,0.5428149958043746,2025-04-01 11:05:16.435566,2025-04-01 11:05:31.562256,0 days 00:00:15.126690,32,0.3245108790277985,0.40838687198182444,0.2975182385457563,0.3090931317527976,,,64,384,416.0,,,0.0007162786999897341,3,2.1070472806578224e-05,COMPLETE
8,-5.055221965008799,2025-04-01 11:05:31.563152,2025-04-01 11:05:42.827058,0 days 00:00:11.263906,416,0.3034282764658811,0.46302658957043724,0.19971689165954998,,,,352,192,,,,0.000661859559718348,2,4.857295179217165e-05,PRUNED
9,-27.794479714430818,2025-04-01 11:05:42.827252,2025-04-01 11:05:54.195601,0 days 00:00:11.368349,416,0.47187906093702925,0.4232481518257668,0.35336150260416943,,,,160,96,,,,0.005532496914298506,2,3.6283583803549155e-05,PRUNED
10,0.42217660915517996,2025-04-01 11:05:54.195975,2025-04-01 11:06:06.863871,0 days 00:00:12.667896,96,0.1849812384706739,0.26499876258765737,0.33457527448253205,0.4877550565296076,0.496945066184135,,480,256,192.0,32.0,,0.00017298149025505048,4,0.00032347462973608503,COMPLETE
11,-21.112805411897742,2025-04-01 11:06:06.864379,2025-04-01 11:06:18.800204,0 days 00:00:11.935825,192,0.10330160208038601,0.21611071494178172,0.12663950661860274,0.11046407727940255,0.18863202611062121,,512,512,512.0,416.0,,0.007157738276017773,4,0.0001640570340432085,PRUNED
12,0.7013953501314789,2025-04-01 11:06:18.800844,2025-04-01 11:06:32.577338,0 days 00:00:13.776494,160,0.19359458939163493,0.18403135621401506,0.25960899495625317,0.3904918238895607,,,384,512,512.0,,,0.0023793537960598537,3,0.00013953424160590127,COMPLETE
13,0.7000196861580985,2025-04-01 11:06:32.577873,2025-04-01 11:06:45.101445,0 days 00:00:12.523572,128,0.20780997053173675,0.20947081861320427,0.2771075096583004,0.39646127647197915,,,384,352,224.0,,,0.0016881947034719528,3,0.0003430189608266592,COMPLETE
14,-5.478086840902213,2025-04-01 11:06:45.101830,2025-04-01 11:06:56.385117,0 days 00:00:11.283287,128,0.22249770291992205,0.3330043528976134,0.2640642142931504,0.38113368443889184,,,352,288,192.0,,,0.00032259433347725346,3,0.0007726556738189395,PRUNED
15,0.7418277031762792,2025-04-01 11:06:56.385328,2025-04-01 11:07:11.993386,0 days 00:00:15.608058,32,0.237149383196761,0.2579507605535839,0.4117772967102288,0.38916232878005463,,,384,448,192.0,,,0.0017904319826816592,3,0.0004968754634511664,COMPLETE
16,0.7228743940897374,2025-04-01 11:07:11.993933,2025-04-01 11:07:27.747683,0 days 00:00:15.753750,32,0.24367094046487792,0.27544041003583947,0.430746924386335,0.3321636783846984,0.471660547299054,,288,480,128.0,192.0,,0.0026406530713449497,4,0.00013752501042526178,COMPLETE
17,0.7014962615044997,2025-04-01 11:07:27.748114,2025-04-01 11:07:43.263849,0 days 00:00:15.515735,32,0.26726163291282967,0.3296354774988267,0.4502286323043932,0.2930739000610968,0.49849015376209815,,288,448,128.0,160.0,,0.004043123035529452,4,0.0009576678837640909,COMPLETE
18,0.5097822699027599,2025-04-01 11:07:43.264348,2025-04-01 11:07:55.126954,0 days 00:00:11.862606,64,0.4171979198143886,0.2559413385968186,0.409621513988075,0.3124689051264062,0.3932378988715296,,192,224,32.0,224.0,,0.008351302863963867,4,0.0009470421819020967,PRUNED
19,0.4446457344322966,2025-04-01 11:07:55.127171,2025-04-01 11:08:07.331084,0 days 00:00:12.203913,96,0.35782573007812823,0.3759710886560623,0.38939040013191084,0.48614864498169424,0.29670992011747865,,224,448,128.0,352.0,,0.0014533104885643194,4,0.00011862698513574185,PRUNED
20,-20.462203798156427,2025-04-01 11:08:07.331495,2025-04-01 11:08:18.663640,0 days 00:00:11.332145,224,0.24870609928891094,0.28938998954919964,0.4997653976350741,,,,256,480,,,,0.0003903425391308425,2,0.0004992224422085127,PRUNED
21,0.7203426107130124,2025-04-01 11:08:18.663885,2025-04-01 11:08:32.984813,0 days 00:00:14.320928,32,0.26399674372897936,0.32387156514180887,0.4199113620908144,0.26906088358084534,0.49980971450921435,,288,448,128.0,128.0,,0.0034056761697236607,4,0.002196863712332392,COMPLETE
22,0.6658780966758819,2025-04-01 11:08:32.985187,2025-04-01 11:08:46.907672,0 days 00:00:13.922485,32,0.26624121406033696,0.24398082106193666,0.4099646451022377,0.268250059429337,0.4367251832683002,,320,384,160.0,160.0,,0.0022321132126344716,4,0.002173193997679667,PRUNED
23,0.3083632578167088,2025-04-01 11:08:46.907945,2025-04-01 11:09:00.981542,0 days 00:00:14.073597,96,0.34898175195640296,0.2970114522440144,0.36968885613912655,0.35263339211840716,0.4245523688309157,0.49490939430119146,256,448,256.0,160.0,448.0,0.003751846982710362,5,0.002428793907600465,PRUNED
24,-13.08760463149557,2025-04-01 11:09:00.981947,2025-04-01 11:09:13.486976,0 days 00:00:12.505029,64,0.2776203149023073,0.3588562983917321,0.44160595424971016,0.3447914348924972,0.4672167880377827,,320,320,96.0,32.0,,0.001104328427723809,4,0.00020338013455916033,PRUNED
25,0.7298164783195437,2025-04-01 11:09:13.487349,2025-04-01 11:09:28.033274,0 days 00:00:14.545925,32,0.16351563889849652,0.31696760859111245,0.48846346941195123,0.18293013926934434,,,416,416,160.0,,,0.0018841498619600265,3,0.0006175322922250781,COMPLETE
26,0.5600962628568,2025-04-01 11:09:28.033929,2025-04-01 11:09:40.510015,0 days 00:00:12.476086,128,0.15680211607579977,0.2323157885625794,0.4902096106504679,0.13795450372684298,,,416,352,224.0,,,0.0019649706657301016,3,0.0005420067204036584,COMPLETE
27,-7.902870480433073,2025-04-01 11:09:40.510417,2025-04-01 11:09:52.455354,0 days 00:00:11.944937,64,0.16785116778901013,0.38710700990498337,0.46603246073212096,0.1794908886688829,,,448,480,32.0,,,0.0009487246919270489,3,9.287727401784758e-05,PRUNED
28,-24.211930679050493,2025-04-01 11:09:52.455623,2025-04-01 11:10:05.164065,0 days 00:00:12.708442,160,0.22774120232869038,0.30649354528637857,0.3442740466295629,0.16311044051790338,,,352,416,256.0,,,0.006121250043566891,3,0.00023922618482545056,PRUNED
29,-4.763848605846631,2025-04-01 11:10:05.164435,2025-04-01 11:10:16.648515,0 days 00:00:11.484080,512,0.13562604108499632,0.28204707086294073,0.43184083016705344,,,,512,416,,,,0.001592307079063338,2,0.001234482732054766,PRUNED
30,-3.1438792929591024,2025-04-01 11:10:16.649069,2025-04-01 11:10:29.066967,0 days 00:00:12.417898,288,0.17770025250119548,0.47779609592130795,0.3834613623681047,0.4560906548977469,,,416,352,192.0,,,0.0011581001984313666,3,0.0005308609820015689,PRUNED
31,0.6645417091156695,2025-04-01 11:10:29.067237,2025-04-01 11:10:43.636582,0 days 00:00:14.569345,32,0.2490608286430062,0.309140444452933,0.4270438844161008,0.2636265376439269,0.32809984272681675,,224,480,128.0,224.0,,0.002980170688064651,4,0.0015623810229508078,PRUNED
32,0.6897051763058315,2025-04-01 11:10:43.636865,2025-04-01 11:10:57.763502,0 days 00:00:14.126637,64,0.21700223740724892,0.31127447806867303,0.47776074235513843,0.2503405631874299,0.44558845053639895,,320,416,160.0,96.0,,0.009883073473564602,4,0.0034798556826909077,PRUNED
33,0.7242682490734206,2025-04-01 11:10:57.763831,2025-04-01 11:11:13.902103,0 days 00:00:16.138272,32,0.28894410546172755,0.27273758230147255,0.40772938679608817,0.2861830564978983,0.27960097696958364,0.4225276746219001,448,480,96.0,96.0,288.0,0.003534880388655941,5,0.008239315084730406,COMPLETE
34,-10.08174429522267,2025-04-01 11:11:13.902459,2025-04-01 11:11:25.232292,0 days 00:00:11.329833,96,0.3306178640761778,0.21859419845563444,0.391742718102687,0.3631821311041765,0.23154060911668306,0.44201064913829746,448,512,64.0,288.0,288.0,0.0022408180242879687,5,0.006622688124643163,PRUNED
35,0.4030968957775578,2025-04-01 11:11:25.232679,2025-04-01 11:11:41.675965,0 days 00:00:16.443286,64,0.28960534660276627,0.2737694297124462,0.3138172594188242,0.4257366587745508,0.12034809428524268,0.37302029626342076,480,480,160.0,64.0,288.0,0.0016583055696174555,5,6.0190479370342146e-05,PRUNED
36,-2.89549139775825,2025-04-01 11:11:41.676389,2025-04-01 11:11:54.570353,0 days 00:00:12.893964,160,0.14755110203188065,0.2472974225950906,0.4560132690624163,0.2916874636756782,0.29769001886367163,0.340718698321753,384,384,96.0,192.0,352.0,0.005043769561966015,5,0.009702254529441446,PRUNED
37,-2.1366456249818326,2025-04-01 11:11:54.570727,2025-04-01 11:12:06.955416,0 days 00:00:12.384689,352,0.2002859677242071,0.3441353663801273,0.46887282369519157,0.3217137027691087,0.24780022263096269,0.10898541357286143,448,480,288.0,384.0,160.0,0.0012621498088445937,5,0.0002572247380791423,PRUNED
38,-8.935634942416842,2025-04-01 11:12:06.956152,2025-04-01 11:12:19.656583,0 days 00:00:12.700431,224,0.3774578268571803,0.19000125961107617,0.36004177157235895,0.3278811086232952,,,480,160,64.0,,,0.002620843853331194,3,1.0269967831499725e-05,PRUNED
39,0.7617535463582966,2025-04-01 11:12:19.657004,2025-04-01 11:12:34.433429,0 days 00:00:14.776425,32,0.24158620924732324,0.14568379447832253,0.4019848159844115,,,,416,320,,,,0.0045170755443952465,2,8.584940214574658e-05,COMPLETE
40,-18.15468209569518,2025-04-01 11:12:34.434015,2025-04-01 11:12:46.473260,0 days 00:00:12.039245,96,0.3120622437037668,0.1397315536608272,0.39347528230720685,,,,416,288,,,,0.0008037587153771111,2,1.9501472136734953e-05,PRUNED
41,0.11133397063962114,2025-04-01 11:12:46.473628,2025-04-01 11:12:59.047226,0 days 00:00:12.573598,32,0.24450193035659265,0.14197432867287313,0.4432344562955914,,,,384,384,,,,0.004402204972891559,2,8.856337697757379e-05,PRUNED
42,0.6847802149069944,2025-04-01 11:12:59.047603,2025-04-01 11:13:12.469083,0 days 00:00:13.421480,64,0.2878880414518591,0.11131373126668961,0.482654228725105,,,,416,32,,,,0.0029582684029373298,2,2.708061331098759e-05,PRUNED
43,0.7420325028393527,2025-04-01 11:13:12.469473,2025-04-01 11:13:28.722725,0 days 00:00:16.253252,32,0.2476051376225308,0.2769273938908853,0.32583913182901925,0.20396628760619154,,,448,416,224.0,,,0.001989876821522805,3,4.950087437575837e-05,COMPLETE
44,-4.187666595794967,2025-04-01 11:13:28.723250,2025-04-01 11:13:40.756397,0 days 00:00:12.033147,128,0.11516771323430469,0.3586376744836409,0.3120346827477408,0.1987224546584271,,,480,320,352.0,,,0.001954703442061648,3,3.336968084122889e-05,PRUNED
45,-4.151044062995108,2025-04-01 11:13:40.756789,2025-04-01 11:13:52.187258,0 days 00:00:11.430469,64,0.3070922267951416,0.4255330774471573,0.32288224437613067,0.21950970599350347,,,512,416,224.0,,,0.0063270823585977395,3,5.8290718029659926e-05,PRUNED
46,0.11868588836298799,2025-04-01 11:13:52.187458,2025-04-01 11:14:03.884968,0 days 00:00:11.697510,32,0.20221422568783531,0.16138243601143953,0.37571596283536723,,,,448,256,,,,0.0005660997101491053,2,0.0004001495173576052,PRUNED
47,-5.919926560922674,2025-04-01 11:14:03.885407,2025-04-01 11:14:15.295785,0 days 00:00:11.410378,96,0.17614727048877904,0.23543036798311243,0.24011783254348895,0.15647676337273533,,,384,416,288.0,,,0.0032943203772162278,3,1.3454300270432208e-05,PRUNED
48,-2.8380199088623757,2025-04-01 11:14:15.296274,2025-04-01 11:14:26.876796,0 days 00:00:11.580522,480,0.49941458623018986,0.2589978795284051,0.2962210940852676,0.1998791364301623,,,448,320,416.0,,,0.0046818826553318435,3,0.005975591710938083,PRUNED
49,-5.370901172449246,2025-04-01 11:14:26.877063,2025-04-01 11:14:38.762726,0 days 00:00:11.885663,64,0.2335118099869591,0.19708957742249372,0.19725554793801447,0.24714503962866607,,,352,384,192.0,,,0.00010559214124422624,3,4.2560891961901894e-05,PRUNED
